unit,year,y_recyclingrate,treated
SWAMPSCOTT,1998,.55187881,0
BOXFORD,1999,.56606191,0
MIDDLETON,1999,.38606194,0
MERRIMAC,1999,.43606192,0
WEST NEWBURY,1999,.38606194,0
NEWBURYPORT,1999,.5160619,0
SALEM,1999,.42606193,0
HAVERHILL,1999,.33606192,0
HAMILTON,1999,.30606192,0
ROCKPORT,1999,.62606198,0
IPSWICH,1999,.49606192,0
BEVERLY,1999,.33606192,0
PEABODY,1999,.25606194,0
ESSEX,1999,.41606194,0
LYNNFIELD,1999,.37606192,0
ANDOVER,1999,.40606192,0
METHUEN,1999,.42606193,0
DANVERS,1999,.37606192,0
SALISBURY,1999,.31606191,0
TOPSFIELD,1999,.48606193,0
SAUGUS,1999,.3260619,0
SWAMPSCOTT,1999,.56606191,0
GLOUCESTER,1999,.41606194,0
HAMILTON,2000,.31448603,0
HAVERHILL,2000,.34448603,0
SALISBURY,2000,.29448602,0
GLOUCESTER,2000,.45448604,0
SWAMPSCOTT,2000,.56448603,0
BOXFORD,2000,.57448602,0
ESSEX,2000,.43448603,0
WEST NEWBURY,2000,.34448603,0
ANDOVER,2000,.41448602,0
MIDDLETON,2000,.35448602,0
MERRIMAC,2000,.31448603,0
ROCKPORT,2000,.61448598,0
IPSWICH,2000,.56448603,0
TOPSFIELD,2000,.49448603,0
SAUGUS,2000,.34448603,0
METHUEN,2000,.39448604,0
SALEM,2000,.27448604,0
LYNNFIELD,2000,.35448602,0
PEABODY,2000,.32448602,0
BEVERLY,2000,.34448603,0
DANVERS,2000,.38448602,0
NEWBURYPORT,2000,.43448603,0
NEWBURYPORT,2001,.45830771,0
TOPSFIELD,2001,.55830771,0
GLOUCESTER,2001,.45830771,0
IPSWICH,2001,.5083077,0
ANDOVER,2001,.4383077,0
SWAMPSCOTT,2001,.55830771,0
HAVERHILL,2001,.33830768,0
ROCKPORT,2001,.5683077,0
HAMILTON,2001,.32830769,0
ESSEX,2001,.4683077,0
MIDDLETON,2001,.45830771,0
SALISBURY,2001,.35830769,0
WEST NEWBURY,2001,.27830771,0
BEVERLY,2001,.35830769,0
METHUEN,2001,.38830769,0
SALEM,2001,.42830771,0
DANVERS,2001,.3783077,0
SAUGUS,2001,.42830771,0
BOXFORD,2001,.5683077,0
MERRIMAC,2001,.41830769,0
PEABODY,2001,.3183077,0
LYNNFIELD,2001,.2883077,0
PEABODY,2002,.26940989,0
