,Year,Recycling Rate,Municipality
1570,FY1999,22%,HAMILTON
1571,FY1998,30%,HAMILTON
1572,FY1997,30%,HAMILTON
1573,CY2008,23%,HAVERHILL
1574,CY2007,27%,HAVERHILL
1575,CY2006,27%,HAVERHILL
1576,CY2005,20%,HAVERHILL
1577,CY2004,24%,HAVERHILL
1578,CY2003,28%,HAVERHILL
1579,CY2002,25%,HAVERHILL
1580,FY2001,24%,HAVERHILL
1581,FY2000,25%,HAVERHILL
1582,FY1999,25%,HAVERHILL
1583,FY1998,23%,HAVERHILL
1584,FY1997,20%,HAVERHILL
1585,CY2008,40%,HOLYOKE
1586,CY2007,33%,HOLYOKE
1587,CY2006,36%,HOLYOKE
1588,CY2005,36%,HOLYOKE
1589,CY2004,27%,HOLYOKE
1590,CY2003,,HOLYOKE
1591,CY2002,25%,HOLYOKE
1592,FY2001,37%,HOLYOKE
1593,FY2000,34%,HOLYOKE
1594,FY1999,26%,HOLYOKE
1595,FY1998,36%,HOLYOKE
1596,FY1997,37%,HOLYOKE
1597,CY2008,25%,LAKEVILLE
1598,CY2007,28%,LAKEVILLE
1599,CY2006,40%,LAKEVILLE
1600,CY2005,36%,LAKEVILLE
1601,CY2004,31%,LAKEVILLE
1602,CY2003,36%,LAKEVILLE
1603,CY2002,36%,LAKEVILLE
1604,FY2001,38%,LAKEVILLE
1605,FY2000,35%,LAKEVILLE
1606,FY1999,39%,LAKEVILLE
1607,FY1998,36%,LAKEVILLE
1608,FY1997,45%,LAKEVILLE
1609,CY2008,55%,LEXINGTON
1610,CY2007,55%,LEXINGTON
1611,CY2006,,LEXINGTON
1612,CY2005,58%,LEXINGTON
1613,CY2004,,LEXINGTON
1614,CY2003,60%,LEXINGTON
1615,CY2002,62%,LEXINGTON
1616,FY2001,52%,LEXINGTON
1617,FY2000,46%,LEXINGTON
1618,FY1999,48%,LEXINGTON
1619,FY1998,55%,LEXINGTON
1620,FY1997,54%,LEXINGTON
1621,CY2008,26%,LYNNFIELD
1622,CY2007,20%,LYNNFIELD
1623,CY2006,19%,LYNNFIELD
1624,CY2005,20%,LYNNFIELD
1625,CY2004,20%,LYNNFIELD
1626,CY2003,21%,LYNNFIELD
1627,CY2002,27%,LYNNFIELD
1628,FY2001,19%,LYNNFIELD
1629,FY2000,26%,LYNNFIELD
1630,FY1999,29%,LYNNFIELD
1631,FY1998,37%,LYNNFIELD
1632,FY1997,34%,LYNNFIELD
1633,CY2008,48%,MATTAPOISETT
1634,CY2007,50%,MATTAPOISETT
1635,CY2006,52%,MATTAPOISETT
1636,CY2005,56%,MATTAPOISETT
1637,CY2004,,MATTAPOISETT
1638,CY2003,,MATTAPOISETT
1639,CY2002,56%,MATTAPOISETT
1640,FY2001,51%,MATTAPOISETT
1641,FY2000,50%,MATTAPOISETT
1642,FY1999,47%,MATTAPOISETT
1643,FY1998,40%,MATTAPOISETT
1644,FY1997,51%,MATTAPOISETT
1645,CY2008,24%,MIDDLEBOROUGH
1646,CY2007,15%,MIDDLEBOROUGH
1647,CY2006,14%,MIDDLEBOROUGH
1648,CY2005,17%,MIDDLEBOROUGH
1649,CY2004,24%,MIDDLEBOROUGH
1650,CY2003,32%,MIDDLEBOROUGH
1651,CY2002,17%,MIDDLEBOROUGH
1652,FY2001,29%,MIDDLEBOROUGH
1653,FY2000,20%,MIDDLEBOROUGH
1654,FY1999,21%,MIDDLEBOROUGH
1655,FY1998,14%,MIDDLEBOROUGH
1656,FY1997,25%,MIDDLEBOROUGH
1657,CY2008,,MONSON
1658,CY2007,26%,MONSON
1659,CY2006,24%,MONSON
1660,CY2005,25%,MONSON
1661,CY2004,25%,MONSON
1662,CY2003,60%,MONSON
1663,CY2002,,MONSON
1664,FY2001,23%,MONSON
1665,FY2000,17%,MONSON
1666,FY1999,18%,MONSON
1667,FY1998,21%,MONSON
1668,FY1997,31%,MONSON
1669,CY2008,7%,NEW ASHFORD
1670,CY2007,10%,NEW ASHFORD
1671,CY2006,,NEW ASHFORD
1672,CY2005,,NEW ASHFORD
1673,CY2004,,NEW ASHFORD
1674,CY2003,36%,NEW ASHFORD
1675,CY2002,25%,NEW ASHFORD
1676,FY2001,33%,NEW ASHFORD
1677,FY2000,39%,NEW ASHFORD
1678,FY1999,45%,NEW ASHFORD
1679,FY1998,29%,NEW ASHFORD
1680,FY1997,29%,NEW ASHFORD
1681,CY2008,7%,NORTH ADAMS
1682,CY2007,17%,NORTH ADAMS
1683,CY2006,10%,NORTH ADAMS
1684,CY2005,7%,NORTH ADAMS
1685,CY2004,,NORTH ADAMS
1686,CY2003,15%,NORTH ADAMS
1687,CY2002,21%,NORTH ADAMS
1688,FY2001,17%,NORTH ADAMS
1689,FY2000,85%,NORTH ADAMS
1690,FY1999,26%,NORTH ADAMS
1691,FY1998,30%,NORTH ADAMS
1692,FY1997,27%,NORTH ADAMS
1693,CY2008,17%,NORTON
1694,CY2007,27%,NORTON
1695,CY2006,13%,NORTON
1696,CY2005,23%,NORTON
1697,CY2004,,NORTON
1698,CY2003,,NORTON
1699,CY2002,,NORTON
1700,FY2001,44%,NORTON
1701,FY2000,,NORTON
1702,FY1999,,NORTON
1703,FY1998,,NORTON
1704,FY1997,37%,NORTON
1705,CY2008,22%,PALMER
1706,CY2007,20%,PALMER
1707,CY2006,8%,PALMER
1708,CY2005,3%,PALMER
1709,CY2004,46%,PALMER
1710,CY2003,46%,PALMER
1711,CY2002,,PALMER
1712,FY2001,7%,PALMER
1713,FY2000,17%,PALMER
1714,FY1999,15%,PALMER
1715,FY1998,10%,PALMER
1716,FY1997,17%,PALMER
1717,CY2008,16%,PITTSFIELD
1718,CY2007,17%,PITTSFIELD
1719,CY2006,17%,PITTSFIELD
1720,CY2005,26%,PITTSFIELD
1721,CY2004,27%,PITTSFIELD
1722,CY2003,27%,PITTSFIELD
1723,CY2002,27%,PITTSFIELD
1724,FY2001,21%,PITTSFIELD
1725,FY2000,17%,PITTSFIELD
1726,FY1999,,PITTSFIELD
1727,FY1998,20%,PITTSFIELD
1728,FY1997,24%,PITTSFIELD
1729,CY2008,20%,RAYNHAM
1730,CY2007,13%,RAYNHAM
1731,CY2006,32%,RAYNHAM
1732,CY2005,37%,RAYNHAM
1733,CY2004,37%,RAYNHAM
1734,CY2003,47%,RAYNHAM
1735,CY2002,43%,RAYNHAM
1736,FY2001,48%,RAYNHAM
1737,FY2000,44%,RAYNHAM
1738,FY1999,25%,RAYNHAM
1739,FY1998,20%,RAYNHAM
1740,FY1997,25%,RAYNHAM
1741,CY2008,4%,ROWLEY
1742,CY2007,6%,ROWLEY
1743,CY2006,7%,ROWLEY
1744,CY2005,7%,ROWLEY
1745,CY2004,14%,ROWLEY
1746,CY2003,11%,ROWLEY
1747,CY2002,,ROWLEY
1748,FY2001,7%,ROWLEY
1749,FY2000,21%,ROWLEY
1750,FY1999,4%,ROWLEY
1751,FY1998,8%,ROWLEY
1752,FY1997,8%,ROWLEY
1753,CY2008,24%,SAVOY
1754,CY2007,46%,SAVOY
1755,CY2006,38%,SAVOY
1756,CY2005,43%,SAVOY
1757,CY2004,43%,SAVOY
1758,CY2003,46%,SAVOY
1759,CY2002,49%,SAVOY
1760,FY2001,48%,SAVOY
1761,FY2000,42%,SAVOY
1762,FY1999,28%,SAVOY
1763,FY1998,21%,SAVOY
1764,FY1997,12%,SAVOY
1765,CY2008,48%,SHUTESBURY
1766,CY2007,46%,SHUTESBURY
1767,CY2006,32%,SHUTESBURY
1768,CY2005,42%,SHUTESBURY
1769,CY2004,47%,SHUTESBURY
1770,CY2003,47%,SHUTESBURY
1771,CY2002,51%,SHUTESBURY
1772,FY2001,52%,SHUTESBURY
1773,FY2000,25%,SHUTESBURY
1774,FY1999,44%,SHUTESBURY
1775,FY1998,42%,SHUTESBURY
1776,FY1997,30%,SHUTESBURY
1777,CY2008,19%,SPRINGFIELD
1778,CY2007,16%,SPRINGFIELD
1779,CY2006,19%,SPRINGFIELD
1780,CY2005,19%,SPRINGFIELD
1781,CY2004,22%,SPRINGFIELD
1782,CY2003,21%,SPRINGFIELD
1783,CY2002,24%,SPRINGFIELD
1784,FY2001,33%,SPRINGFIELD
1785,FY2000,35%,SPRINGFIELD
1786,FY1999,36%,SPRINGFIELD
1787,FY1998,35%,SPRINGFIELD
1788,FY1997,35%,SPRINGFIELD
1789,CY2008,14%,SUTTON
1790,CY2007,13%,SUTTON
1791,CY2006,16%,SUTTON
1792,CY2005,19%,SUTTON
1793,CY2004,20%,SUTTON
1794,CY2003,20%,SUTTON
1795,CY2002,39%,SUTTON
1796,FY2001,42%,SUTTON
1797,FY2000,33%,SUTTON
1798,FY1999,49%,SUTTON
1799,FY1998,26%,SUTTON
1800,FY1997,21%,SUTTON
1801,CY2008,29%,TOWNSEND
1802,CY2007,28%,TOWNSEND
1803,CY2006,29%,TOWNSEND
1804,CY2005,32%,TOWNSEND
1805,CY2004,22%,TOWNSEND
1806,CY2003,30%,TOWNSEND
1807,CY2002,17%,TOWNSEND
1808,FY2001,19%,TOWNSEND
1809,FY2000,20%,TOWNSEND
1810,FY1999,20%,TOWNSEND
1811,FY1998,26%,TOWNSEND
1812,FY1997,26%,TOWNSEND
1813,CY2008,17%,WALTHAM
1814,CY2007,11%,WALTHAM
1815,CY2006,20%,WALTHAM
1816,CY2005,21%,WALTHAM
1817,CY2004,32%,WALTHAM
1818,CY2003,20%,WALTHAM
1819,CY2002,18%,WALTHAM
1820,FY2001,20%,WALTHAM
1821,FY2000,19%,WALTHAM
1822,FY1999,19%,WALTHAM
1823,FY1998,26%,WALTHAM
1824,FY1997,23%,WALTHAM
1825,CY2008,66%,WELLESLEY
1826,CY2007,56%,WELLESLEY
1827,CY2006,49%,WELLESLEY
1828,CY2005,54%,WELLESLEY
1829,CY2004,56%,WELLESLEY
1830,CY2003,70%,WELLESLEY
1831,CY2002,65%,WELLESLEY
1832,FY2001,66%,WELLESLEY
1833,FY2000,63%,WELLESLEY
1834,FY1999,56%,WELLESLEY
1835,FY1998,60%,WELLESLEY
1836,FY1997,47%,WELLESLEY
1837,CY2008,41%,WEST STOCKBRIDGE
1838,CY2007,36%,WEST STOCKBRIDGE
1839,CY2006,,WEST STOCKBRIDGE
1840,CY2005,18%,WEST STOCKBRIDGE
1841,CY2004,25%,WEST STOCKBRIDGE
1842,CY2003,31%,WEST STOCKBRIDGE
1843,CY2002,40%,WEST STOCKBRIDGE
1844,FY2001,28%,WEST STOCKBRIDGE
1845,FY2000,34%,WEST STOCKBRIDGE
1846,FY1999,33%,WEST STOCKBRIDGE
1847,FY1998,31%,WEST STOCKBRIDGE
1848,FY1997,30%,WEST STOCKBRIDGE
1849,CY2008,26%,WESTWOOD
1850,CY2007,24%,WESTWOOD
1851,CY2006,33%,WESTWOOD
1852,CY2005,27%,WESTWOOD
1853,CY2004,29%,WESTWOOD
1854,CY2003,33%,WESTWOOD
1855,CY2002,35%,WESTWOOD
1856,FY2001,37%,WESTWOOD
1857,FY2000,36%,WESTWOOD
1858,FY1999,35%,WESTWOOD
1859,FY1998,33%,WESTWOOD
1860,FY1997,32%,WESTWOOD
1861,CY2008,29%,WINCHESTER
1862,CY2007,29%,WINCHESTER
1863,CY2006,33%,WINCHESTER
1864,CY2005,30%,WINCHESTER
1865,CY2004,32%,WINCHESTER
1866,CY2003,21%,WINCHESTER
1867,CY2002,28%,WINCHESTER
1868,FY2001,33%,WINCHESTER
1869,FY2000,22%,WINCHESTER
1870,FY1999,15%,WINCHESTER
1871,FY1998,26%,WINCHESTER
1872,FY1997,26%,WINCHESTER
1873,CY2008,30%,AGAWAM
1874,CY2007,25%,AGAWAM
1875,CY2006,33%,AGAWAM
1876,CY2005,27%,AGAWAM
1877,CY2004,26%,AGAWAM
1878,CY2003,27%,AGAWAM
1879,CY2002,26%,AGAWAM
1880,FY2001,35%,AGAWAM
1881,FY2000,30%,AGAWAM
1882,FY1999,31%,AGAWAM
1883,FY1998,25%,AGAWAM
1884,FY1997,29%,AGAWAM
1885,CY2008,30%,ASHLAND
1886,CY2007,39%,ASHLAND
1887,CY2006,30%,ASHLAND
1888,CY2005,16%,ASHLAND
1889,CY2004,22%,ASHLAND
1890,CY2003,37%,ASHLAND
1891,CY2002,22%,ASHLAND
1892,FY2001,23%,ASHLAND
1893,FY2000,36%,ASHLAND
1894,FY1999,22%,ASHLAND
1895,FY1998,22%,ASHLAND
1896,FY1997,18%,ASHLAND
1897,CY2008,34%,BEDFORD
1898,CY2007,33%,BEDFORD
1899,CY2006,33%,BEDFORD
1900,CY2005,,BEDFORD
1901,CY2004,,BEDFORD
1902,CY2003,,BEDFORD
1903,CY2002,30%,BEDFORD
1904,FY2001,35%,BEDFORD
1905,FY2000,28%,BEDFORD
1906,FY1999,38%,BEDFORD
1907,FY1998,39%,BEDFORD
1908,FY1997,38%,BEDFORD
1909,CY2008,54%,BLACKSTONE
1910,CY2007,40%,BLACKSTONE
1911,CY2006,32%,BLACKSTONE
1912,CY2005,33%,BLACKSTONE
1913,CY2004,29%,BLACKSTONE
1914,CY2003,29%,BLACKSTONE
1915,CY2002,,BLACKSTONE
1916,FY2001,,BLACKSTONE
1917,FY2000,,BLACKSTONE
1918,FY1999,23%,BLACKSTONE
1919,FY1998,6%,BLACKSTONE
1920,FY1997,21%,BLACKSTONE
1921,CY2008,17%,BREWSTER
1922,CY2007,19%,BREWSTER
1923,CY2006,18%,BREWSTER
1924,CY2005,20%,BREWSTER
1925,CY2004,22%,BREWSTER
1926,CY2003,,BREWSTER
1927,CY2002,,BREWSTER
1928,FY2001,,BREWSTER
1929,FY2000,13%,BREWSTER
1930,FY1999,16%,BREWSTER
1931,FY1998,17%,BREWSTER
1932,FY1997,14%,BREWSTER
1933,CY2008,40%,CANTON
1934,CY2007,41%,CANTON
1935,CY2006,38%,CANTON
1936,CY2005,24%,CANTON
1937,CY2004,,CANTON
1938,CY2003,,CANTON
1939,CY2002,,CANTON
1940,FY2001,47%,CANTON
1941,FY2000,55%,CANTON
1942,FY1999,41%,CANTON
1943,FY1998,34%,CANTON
1944,FY1997,37%,CANTON
1945,CY2008,49%,CHESTER
1946,CY2007,47%,CHESTER
1947,CY2006,28%,CHESTER
1948,CY2005,31%,CHESTER
1949,CY2004,27%,CHESTER
1950,CY2003,27%,CHESTER
1951,CY2002,40%,CHESTER
1952,FY2001,,CHESTER
1953,FY2000,,CHESTER
1954,FY1999,,CHESTER
1955,FY1998,,CHESTER
1956,FY1997,,CHESTER
1957,CY2008,41%,CONWAY
1958,CY2007,42%,CONWAY
1959,CY2006,42%,CONWAY
1960,CY2005,41%,CONWAY
1961,CY2004,41%,CONWAY
1962,CY2003,43%,CONWAY
1963,CY2002,45%,CONWAY
1964,FY2001,40%,CONWAY
1965,FY2000,39%,CONWAY
1966,FY1999,38%,CONWAY
1967,FY1998,44%,CONWAY
1968,FY1997,40%,CONWAY
1969,CY2008,17%,DOUGLAS
1970,CY2007,15%,DOUGLAS
1971,CY2006,26%,DOUGLAS
1972,CY2005,11%,DOUGLAS
1973,CY2004,8%,DOUGLAS
1974,CY2003,8%,DOUGLAS
1975,CY2002,13%,DOUGLAS
1976,FY2001,14%,DOUGLAS
1977,FY2000,13%,DOUGLAS
1978,FY1999,11%,DOUGLAS
1979,FY1998,8%,DOUGLAS
1980,FY1997,10%,DOUGLAS
1981,CY2008,37%,EASTHAM
1982,CY2007,31%,EASTHAM
1983,CY2006,31%,EASTHAM
1984,CY2005,36%,EASTHAM
1985,CY2004,24%,EASTHAM
1986,CY2003,26%,EASTHAM
1987,CY2002,23%,EASTHAM
1988,FY2001,27%,EASTHAM
1989,FY2000,18%,EASTHAM
1990,FY1999,19%,EASTHAM
1991,FY1998,19%,EASTHAM
1992,FY1997,18%,EASTHAM
1993,CY2008,12%,FALL RIVER
1994,CY2007,11%,FALL RIVER
1995,CY2006,12%,FALL RIVER
1996,CY2005,16%,FALL RIVER
1997,CY2004,13%,FALL RIVER
1998,CY2003,18%,FALL RIVER
1999,CY2002,16%,FALL RIVER
2000,FY2001,13%,FALL RIVER
2001,FY2000,12%,FALL RIVER
2002,FY1999,11%,FALL RIVER
2003,FY1998,10%,FALL RIVER
2004,FY1997,8%,FALL RIVER
2005,CY2008,34%,AQUINNAH
2006,CY2007,32%,AQUINNAH
2007,CY2006,44%,AQUINNAH
2008,CY2005,13%,AQUINNAH
2009,CY2004,12%,AQUINNAH
2010,CY2003,25%,AQUINNAH
2011,CY2002,34%,AQUINNAH
2012,FY2001,30%,AQUINNAH
2013,FY2000,,AQUINNAH
2014,FY1999,32%,AQUINNAH
2015,FY1998,31%,AQUINNAH
2016,FY1997,33%,AQUINNAH
2017,CY2008,,GREAT BARRING
2018,CY2007,26%,GREAT BARRING
2019,CY2006,5%,GREAT BARRING
2020,CY2005,48%,GREAT BARRING
2021,CY2004,5%,GREAT BARRING
2022,CY2003,,GREAT BARRING
2023,CY2002,34%,GREAT BARRING
2024,FY2001,41%,GREAT BARRING
2025,FY2000,37%,GREAT BARRING
2026,FY1999,33%,GREAT BARRING
2027,FY1998,44%,GREAT BARRING
2028,FY1997,24%,GREAT BARRING
2029,CY2008,40%,HANOVER
2030,CY2007,38%,HANOVER
2031,CY2006,41%,HANOVER
2032,CY2005,35%,HANOVER
2033,CY2004,32%,HANOVER
2034,CY2003,32%,HANOVER
2035,CY2002,33%,HANOVER
2036,FY2001,37%,HANOVER
2037,FY2000,37%,HANOVER
2038,FY1999,33%,HANOVER
2039,FY1998,33%,HANOVER
2040,FY1997,34%,HANOVER
2041,CY2008,52%,HINGHAM
2042,CY2007,59%,HINGHAM
2043,CY2006,47%,HINGHAM
2044,CY2005,50%,HINGHAM
2045,CY2004,49%,HINGHAM
2046,CY2003,46%,HINGHAM
2047,CY2002,46%,HINGHAM
2048,FY2001,47%,HINGHAM
2049,FY2000,46%,HINGHAM
2050,FY1999,33%,HINGHAM
2051,FY1998,37%,HINGHAM
2052,FY1997,38%,HINGHAM
2053,CY2008,,HUBBARDSTON
2054,CY2007,,HUBBARDSTON
2055,CY2006,,HUBBARDSTON
2056,CY2005,,HUBBARDSTON
2057,CY2004,,HUBBARDSTON
2058,CY2003,,HUBBARDSTON
2059,CY2002,,HUBBARDSTON
2060,FY2001,28%,HUBBARDSTON
2061,FY2000,30%,HUBBARDSTON
2062,FY1999,36%,HUBBARDSTON
2063,FY1998,21%,HUBBARDSTON
2064,FY1997,28%,HUBBARDSTON
2065,CY2008,9%,LAWRENCE
2066,CY2007,6%,LAWRENCE
2067,CY2006,9%,LAWRENCE
2068,CY2005,6%,LAWRENCE
2069,CY2004,11%,LAWRENCE
2070,CY2003,9%,LAWRENCE
2071,CY2002,8%,LAWRENCE
2072,FY2001,7%,LAWRENCE
2073,FY2000,7%,LAWRENCE
2074,FY1999,8%,LAWRENCE
2075,FY1998,17%,LAWRENCE
2076,FY1997,11%,LAWRENCE
2077,CY2008,23%,LITTLETON
2078,CY2007,21%,LITTLETON
2079,CY2006,21%,LITTLETON
2080,CY2005,23%,LITTLETON
2081,CY2004,21%,LITTLETON
2082,CY2003,17%,LITTLETON
2083,CY2002,33%,LITTLETON
2084,FY2001,35%,LITTLETON
2085,FY2000,,LITTLETON
2086,FY1999,42%,LITTLETON
2087,FY1998,33%,LITTLETON
2088,FY1997,27%,LITTLETON
2089,CY2008,54%,MANSFIELD
2090,CY2007,53%,MANSFIELD
2091,CY2006,44%,MANSFIELD
2092,CY2005,41%,MANSFIELD
2093,CY2004,49%,MANSFIELD
2094,CY2003,48%,MANSFIELD
2095,CY2002,51%,MANSFIELD
2096,FY2001,37%,MANSFIELD
2097,FY2000,50%,MANSFIELD
2098,FY1999,33%,MANSFIELD
2099,FY1998,28%,MANSFIELD
2100,FY1997,29%,MANSFIELD
2101,CY2008,13%,MEDFORD
2102,CY2007,15%,MEDFORD
2103,CY2006,10%,MEDFORD
2104,CY2005,16%,MEDFORD
2105,CY2004,18%,MEDFORD
2106,CY2003,17%,MEDFORD
2107,CY2002,13%,MEDFORD
2108,FY2001,14%,MEDFORD
2109,FY2000,13%,MEDFORD
2110,FY1999,13%,MEDFORD
2111,FY1998,13%,MEDFORD
2112,FY1997,15%,MEDFORD
2113,CY2008,30%,MILFORD
2114,CY2007,30%,MILFORD
2115,CY2006,33%,MILFORD
2116,CY2005,23%,MILFORD
2117,CY2004,32%,MILFORD
2118,CY2003,23%,MILFORD
2119,CY2002,23%,MILFORD
2120,FY2001,27%,MILFORD
2121,FY2000,29%,MILFORD
2122,FY1999,26%,MILFORD
2123,FY1998,30%,MILFORD
2124,FY1997,33%,MILFORD
2125,CY2008,22%,MONTGOMERY
2126,CY2007,12%,MONTGOMERY
2127,CY2006,,MONTGOMERY
2128,CY2005,,MONTGOMERY
2129,CY2004,,MONTGOMERY
2130,CY2003,,MONTGOMERY
2131,CY2002,,MONTGOMERY
2132,FY2001,29%,MONTGOMERY
2133,FY2000,,MONTGOMERY
2134,FY1999,,MONTGOMERY
2135,FY1998,,MONTGOMERY
2136,FY1997,31%,MONTGOMERY
2137,CY2008,13%,NEW MARLBORO
2138,CY2007,28%,NEW MARLBORO
2139,CY2006,15%,NEW MARLBORO
2140,CY2005,11%,NEW MARLBORO
2141,CY2004,10%,NEW MARLBORO
2142,CY2003,9%,NEW MARLBORO
2143,CY2002,,NEW MARLBORO
2144,FY2001,36%,NEW MARLBORO
2145,FY2000,,NEW MARLBORO
2146,FY1999,,NEW MARLBORO
2147,FY1998,,NEW MARLBORO
2148,FY1997,42%,NEW MARLBORO
2149,CY2008,32%,NORTH BROOKFI
2150,CY2007,35%,NORTH BROOKFI
2151,CY2006,35%,NORTH BROOKFI
2152,CY2005,36%,NORTH BROOKFI
2153,CY2004,31%,NORTH BROOKFI
2154,CY2003,30%,NORTH BROOKFI
2155,CY2002,36%,NORTH BROOKFI
2156,FY2001,40%,NORTH BROOKFI
2157,FY2000,42%,NORTH BROOKFI
2158,FY1999,42%,NORTH BROOKFI
2159,FY1998,44%,NORTH BROOKFI
2160,FY1997,40%,NORTH BROOKFI
2161,CY2008,27%,OAK BLUFFS
2162,CY2007,29%,OAK BLUFFS
2163,CY2006,28%,OAK BLUFFS
2164,CY2005,27%,OAK BLUFFS
2165,CY2004,30%,OAK BLUFFS
2166,CY2003,25%,OAK BLUFFS
2167,CY2002,28%,OAK BLUFFS
2168,FY2001,24%,OAK BLUFFS
2169,FY2000,,OAK BLUFFS
2170,FY1999,50%,OAK BLUFFS
2171,FY1998,26%,OAK BLUFFS
2172,FY1997,19%,OAK BLUFFS
2173,CY2008,,PELHAM
2174,CY2007,27%,PELHAM
2175,CY2006,,PELHAM
2176,CY2005,16%,PELHAM
2177,CY2004,21%,PELHAM
2178,CY2003,22%,PELHAM
2179,CY2002,37%,PELHAM
2180,FY2001,,PELHAM
2181,FY2000,29%,PELHAM
2182,FY1999,27%,PELHAM
2183,FY1998,28%,PELHAM
2184,FY1997,34%,PELHAM
2185,CY2008,17%,PLYMOUTH
2186,CY2007,15%,PLYMOUTH
2187,CY2006,12%,PLYMOUTH
2188,CY2005,26%,PLYMOUTH
2189,CY2004,25%,PLYMOUTH
2190,CY2003,26%,PLYMOUTH
2191,CY2002,46%,PLYMOUTH
2192,FY2001,48%,PLYMOUTH
2193,FY2000,42%,PLYMOUTH
2194,FY1999,35%,PLYMOUTH
2195,FY1998,30%,PLYMOUTH
2196,FY1997,30%,PLYMOUTH
2197,CY2008,12%,REVERE
2198,CY2007,11%,REVERE
2199,CY2006,8%,REVERE
2200,CY2005,8%,REVERE
2201,CY2004,7%,REVERE
2202,CY2003,7%,REVERE
2203,CY2002,9%,REVERE
2204,FY2001,7%,REVERE
2205,FY2000,13%,REVERE
2206,FY1999,9%,REVERE
2207,FY1998,13%,REVERE
2208,FY1997,16%,REVERE
2209,CY2008,,RUTLAND
2210,CY2007,,RUTLAND
2211,CY2006,,RUTLAND
2212,CY2005,,RUTLAND
2213,CY2004,,RUTLAND
2214,CY2003,,RUTLAND
2215,CY2002,,RUTLAND
2216,FY2001,,RUTLAND
2217,FY2000,,RUTLAND
2218,FY1999,,RUTLAND
2219,FY1998,,RUTLAND
2220,FY1997,,RUTLAND
2221,CY2008,25%,SHARON
2222,CY2007,27%,SHARON
2223,CY2006,23%,SHARON
2224,CY2005,27%,SHARON
2225,CY2004,39%,SHARON
2226,CY2003,23%,SHARON
2227,CY2002,11%,SHARON
2228,FY2001,29%,SHARON
2229,FY2000,28%,SHARON
2230,FY1999,45%,SHARON
2231,FY1998,37%,SHARON
2232,FY1997,30%,SHARON
2233,CY2008,36%,SOUTH HADLEY
2234,CY2007,26%,SOUTH HADLEY
2235,CY2006,40%,SOUTH HADLEY
2236,CY2005,49%,SOUTH HADLEY
2237,CY2004,49%,SOUTH HADLEY
2238,CY2003,42%,SOUTH HADLEY
2239,CY2002,55%,SOUTH HADLEY
2240,FY2001,54%,SOUTH HADLEY
2241,FY2000,54%,SOUTH HADLEY
2242,FY1999,50%,SOUTH HADLEY
2243,FY1998,36%,SOUTH HADLEY
2244,FY1997,38%,SOUTH HADLEY
2245,CY2008,31%,STONEHAM
2246,CY2007,28%,STONEHAM
2247,CY2006,35%,STONEHAM
2248,CY2005,37%,STONEHAM
2249,CY2004,34%,STONEHAM
2250,CY2003,36%,STONEHAM
2251,CY2002,15%,STONEHAM
2252,FY2001,36%,STONEHAM
2253,FY2000,35%,STONEHAM
2254,FY1999,33%,STONEHAM
2255,FY1998,33%,STONEHAM
2256,FY1997,31%,STONEHAM
2257,CY2008,21%,TAUNTON
2258,CY2007,22%,TAUNTON
2259,CY2006,22%,TAUNTON
2260,CY2005,28%,TAUNTON
2261,CY2004,29%,TAUNTON
2262,CY2003,,TAUNTON
2263,CY2002,43%,TAUNTON
2264,FY2001,41%,TAUNTON
2265,FY2000,43%,TAUNTON
2266,FY1999,43%,TAUNTON
2267,FY1998,40%,TAUNTON
2268,FY1997,43%,TAUNTON
2269,CY2008,18%,TYRINGHAM
2270,CY2007,17%,TYRINGHAM
2271,CY2006,31%,TYRINGHAM
2272,CY2005,46%,TYRINGHAM
2273,CY2004,35%,TYRINGHAM
2274,CY2003,43%,TYRINGHAM
2275,CY2002,38%,TYRINGHAM
2276,FY2001,43%,TYRINGHAM
2277,FY2000,40%,TYRINGHAM
2278,FY1999,6%,TYRINGHAM
2279,FY1998,33%,TYRINGHAM
2280,FY1997,30%,TYRINGHAM
2281,CY2008,8%,WARREN
2282,CY2007,7%,WARREN
2283,CY2006,17%,WARREN
2284,CY2005,,WARREN
2285,CY2004,,WARREN
2286,CY2003,,WARREN
2287,CY2002,,WARREN
2288,FY2001,23%,WARREN
2289,FY2000,,WARREN
2290,FY1999,,WARREN
2291,FY1998,21%,WARREN
2292,FY1997,21%,WARREN
2293,CY2008,26%,WENHAM
2294,CY2007,33%,WENHAM
2295,CY2006,30%,WENHAM
2296,CY2005,29%,WENHAM
2297,CY2004,,WENHAM
2298,CY2003,,WENHAM
2299,CY2002,,WENHAM
2300,FY2001,25%,WENHAM
2301,FY2000,,WENHAM
2302,FY1999,,WENHAM
2303,FY1998,24%,WENHAM
2304,FY1997,29%,WENHAM
2305,CY2008,26%,WESTFIELD
2306,CY2007,34%,WESTFIELD
2307,CY2006,29%,WESTFIELD
2308,CY2005,32%,WESTFIELD
2309,CY2004,25%,WESTFIELD
2310,CY2003,22%,WESTFIELD
2311,CY2002,27%,WESTFIELD
2312,FY2001,34%,WESTFIELD
2313,FY2000,30%,WESTFIELD
2314,FY1999,28%,WESTFIELD
2315,FY1998,35%,WESTFIELD
2316,FY1997,43%,WESTFIELD
2317,CY2008,16%,WHITMAN
2318,CY2007,17%,WHITMAN
2319,CY2006,18%,WHITMAN
2320,CY2005,14%,WHITMAN
2321,CY2004,,WHITMAN
