unit,year,y_recyclingrate,treated
WHATELY,2002,.61000001,0
HEATH,2002,.41999999,0
MONTAGUE,2002,.57999998,0
DEERFIELD,2002,.28,0
GREENFIELD,2002,.34,0
WARWICK,2002,.50999999,0
ROWE,2002,.27000001,0
WENDELL,2002,.49000001,0
BUCKLAND,2002,.52999997,0
ORANGE,2002,.27000001,0
CHICOPEE,1997,.27000001,0
LUDLOW,1997,.19,0
HAMPDEN,1997,.34999999,0
WESTFIELD,1997,.43000001,0
SPRINGFIELD,1997,.34999999,0
GRANVILLE,1997,.54000002,0
RUSSELL,1997,.34999999,0
WILBRAHAM,1997,.41,0
LONGMEADOW,1997,.57999998,0
AGAWAM,1997,.28999999,0
EAST LONGMEADOW,1997,.33000001,0
HAMPDEN,1998,.22,0
SPRINGFIELD,1998,.34999999,0
CHICOPEE,1998,.31999999,0
RUSSELL,1998,.36000001,0
AGAWAM,1998,.25,0
EAST LONGMEADOW,1998,.28999999,0
LUDLOW,1998,.2,0
WILBRAHAM,1998,.37,0
LONGMEADOW,1998,.55000001,0
GRANVILLE,1998,.54000002,0
WESTFIELD,1998,.34999999,0
AGAWAM,1999,.31,0
LUDLOW,1999,.25,0
CHICOPEE,1999,.31999999,0
WILBRAHAM,1999,.38999999,0
WESTFIELD,1999,.28,0
SPRINGFIELD,1999,.36000001,0
GRANVILLE,1999,.54000002,0
HAMPDEN,1999,.27000001,0
EAST LONGMEADOW,1999,.28,0
LONGMEADOW,1999,.62,0
RUSSELL,1999,.36000001,0
LONGMEADOW,2000,.66000003,0
SPRINGFIELD,2000,.34999999,0
AGAWAM,2000,.30000001,0
RUSSELL,2000,.44999999,0
HAMPDEN,2000,.18000001,0
GRANVILLE,2000,.50999999,0
WILBRAHAM,2000,.20999999,0
LUDLOW,2000,.28999999,0
WESTFIELD,2000,.30000001,0
CHICOPEE,2000,.28999999,0
EAST LONGMEADOW,2000,.36000001,0
RUSSELL,2001,.44,0
CHICOPEE,2001,.37,0
GRANVILLE,2001,.50999999,0
AGAWAM,2001,.34999999,0
EAST LONGMEADOW,2001,.40000001,0
LUDLOW,2001,.23999999,0
LONGMEADOW,2001,.63,0
WILBRAHAM,2001,.33000001,0
HAMPDEN,2001,.38,0
SPRINGFIELD,2001,.33000001,0
WESTFIELD,2001,.34,0
SPRINGFIELD,2002,.23999999,0
HAMPDEN,2002,.34,0
CHICOPEE,2002,.34,0
AGAWAM,2002,.25999999,0
WILBRAHAM,2002,.56999999,0
EAST LONGMEADOW,2002,.36000001,0
RUSSELL,2002,.31999999,0
GRANVILLE,2002,.51999998,0
LUDLOW,2002,.25999999,0
LONGMEADOW,2002,.56,0
WESTFIELD,2002,.27000001,0
MIDDLEFIELD,1997,.34,0
GOSHEN,1997,.50999999,0
AMHERST,1997,.44,0
GRANBY,1997,.23999999,0
SOUTH HADLEY,1997,.38,0
WORTHINGTON,1997,.2,0
WESTHAMPTON,1997,.22,0
PLAINFIELD,1997,.46000001,0
NORTHAMPTON,1997,.44999999,0
HUNTINGTON,1997,.34999999,0
BELCHERTOWN,1997,.67000002,0
CUMMINGTON,1997,.25999999,0
SOUTHAMPTON,1997,.66000003,0
CUMMINGTON,1998,.27000001,0
NORTHAMPTON,1998,.44,0
SOUTH HADLEY,1998,.36000001,0
AMHERST,1998,.56,0
BELCHERTOWN,1998,.44999999,0
SOUTHAMPTON,1998,.67000002,0
GRANBY,1998,.20999999,0
HUNTINGTON,1998,.36000001,0
PLAINFIELD,1998,.47999999,0
WESTHAMPTON,1998,.30000001,0
MIDDLEFIELD,1998,.30000001,0
WORTHINGTON,1998,.41999999,0
GOSHEN,1998,.47999999,0
CUMMINGTON,1999,.25,0
GRANBY,1999,.34,0
AMHERST,1999,.57999998,0
BELCHERTOWN,1999,.49000001,0
SOUTHAMPTON,1999,.68000001,0
SOUTH HADLEY,1999,.5,0
PLAINFIELD,1999,.31999999,0
HUNTINGTON,1999,.37,0
MIDDLEFIELD,1999,.31,0
GOSHEN,1999,.49000001,0
NORTHAMPTON,1999,.44,0
WESTHAMPTON,1999,.31,0
WORTHINGTON,1999,.43000001,0
WORTHINGTON,2000,.40000001,0
GRANBY,2000,.13,0
SOUTHAMPTON,2000,.68000001,0
AMHERST,2000,.46000001,0
BELCHERTOWN,2000,.34,0
GOSHEN,2000,.47,0
MIDDLEFIELD,2000,.28,0
HUNTINGTON,2000,.36000001,0
CUMMINGTON,2000,.28,0
PLAINFIELD,2000,.5,0
SOUTH HADLEY,2000,.54000002,0
NORTHAMPTON,2000,.47999999,0
WESTHAMPTON,2000,.44,0
PLAINFIELD,2001,.46000001,0
NORTHAMPTON,2001,.62,0
AMHERST,2001,.62,0
MIDDLEFIELD,2001,.37,0
BELCHERTOWN,2001,.46000001,0
SOUTHAMPTON,2001,.76999998,0
HUNTINGTON,2001,.38999999,0
WORTHINGTON,2001,.40000001,0
WESTHAMPTON,2001,.49000001,0
CUMMINGTON,2001,.38,0
GOSHEN,2001,.55000001,0
