unit,year,y_recyclingrate,treated
NEW SALEM,1999,.49997744,0
ERVING,1999,.52997744,0
NORTHFIELD,1999,.49997744,0
WENDELL,1999,.46997744,0
DEERFIELD,1999,.68997741,0
SHUTESBURY,1999,.48997745,0
HEATH,1999,.38997746,0
SUNDERLAND,1999,.46997744,0
COLRAIN,1999,.60997742,0
CONWAY,1999,.42997745,0
ORANGE,1999,.36997744,0
WARWICK,1999,.48997745,0
GILL,1999,.59997743,0
LEVERETT,1999,.60997742,0
BUCKLAND,1999,.57997739,0
SHELBURNE,1999,.39997745,0
CHARLEMONT,1999,.49997744,0
MONTAGUE,1999,.42997745,0
ROWE,1999,.36997744,0
GREENFIELD,1999,.38997746,0
WHATELY,2000,.66508275,0
SUNDERLAND,2000,.49508271,0
NEW SALEM,2000,.52508271,0
GREENFIELD,2000,.42508271,0
BERNARDSTON,2000,.51508272,0
CHARLEMONT,2000,.4350827,0
CONWAY,2000,.44508269,0
COLRAIN,2000,.63508272,0
GILL,2000,.57508272,0
HEATH,2000,.3750827,0
WARWICK,2000,.68508273,0
LEVERETT,2000,.64508271,0
BUCKLAND,2000,.54508275,0
MONTAGUE,2000,.50508273,0
SHELBURNE,2000,.49508271,0
ASHFIELD,2000,.4750827,0
SHUTESBURY,2000,.30508271,0
ROWE,2000,.3450827,0
WENDELL,2000,.57508272,0
ERVING,2000,.3750827,0
ORANGE,2000,.57508272,0
NORTHFIELD,2000,.48508272,0
DEERFIELD,2000,.41508272,0
BERNARDSTON,2001,.50876439,0
SUNDERLAND,2001,.48876441,0
WARWICK,2001,.6187644,0
CONWAY,2001,.4587644,0
NEW SALEM,2001,.5587644,0
SHUTESBURY,2001,.57876438,0
BUCKLAND,2001,.56876439,0
ORANGE,2001,.23876441,0
NORTHFIELD,2001,.41876441,0
GREENFIELD,2001,.34876439,0
COLRAIN,2001,.65876442,0
DEERFIELD,2001,.40876439,0
MONTAGUE,2001,.53876436,0
CHARLEMONT,2001,.4287644,0
ASHFIELD,2001,.59876442,0
ERVING,2001,.48876441,0
LEVERETT,2001,.69876438,0
HEATH,2001,.28876442,0
WHATELY,2001,.5587644,0
GILL,2001,.56876439,0
SHELBURNE,2001,.48876441,0
ROWE,2001,.31876439,0
WENDELL,2001,.50876439,0
CHARLEMONT,2008,.59454745,0
BERNARDSTON,2008,.49454746,0
ROWE,2008,.31454745,0
ASHFIELD,2008,.58454746,0
SUNDERLAND,2008,.56454748,0
ORANGE,2008,.36454746,0
CONWAY,2008,.48454747,0
ERVING,2008,.45454746,0
GREENFIELD,2008,.48454747,0
LEVERETT,2008,.61454749,0
BUCKLAND,2008,.57454747,0
SHELBURNE,2008,.37454748,0
WENDELL,2008,.53454745,0
WARWICK,2008,.53454745,0
NEW SALEM,2008,.40454748,0
COLRAIN,2008,.60454744,0
GILL,2008,.60454744,0
SHUTESBURY,2008,.55454743,0
MONTAGUE,2008,.58454746,0
WHATELY,2008,.68454748,0
NORTHFIELD,2008,.54454744,0
HEATH,2008,.45454746,0
DEERFIELD,2008,.39454746,0
CHICOPEE,1997,.35828975,0
LUDLOW,1997,.27828974,0
HAMPDEN,1997,.43828973,0
WESTFIELD,1997,.51828974,0
SPRINGFIELD,1997,.43828973,0
GRANVILLE,1997,.62828976,0
RUSSELL,1997,.43828973,0
WILBRAHAM,1997,.49828973,0
LONGMEADOW,1997,.66828972,0
AGAWAM,1997,.37828973,0
EAST LONGMEADOW,1997,.41828975,0
HAMPDEN,1998,.31094828,0
SPRINGFIELD,1998,.44094828,0
CHICOPEE,1998,.41094828,0
RUSSELL,1998,.4509483,0
AGAWAM,1998,.34094828,0
EAST LONGMEADOW,1998,.38094828,0
LUDLOW,1998,.2909483,0
WILBRAHAM,1998,.46094829,0
LONGMEADOW,1998,.6409483,0
GRANVILLE,1998,.63094831,0
WESTFIELD,1998,.44094828,0
AGAWAM,1999,.40429616,0
LUDLOW,1999,.34429616,0
CHICOPEE,1999,.41429615,0
WILBRAHAM,1999,.48429614,0
WESTFIELD,1999,.37429616,0
SPRINGFIELD,1999,.45429617,0
GRANVILLE,1999,.63429618,0
HAMPDEN,1999,.36429617,0
EAST LONGMEADOW,1999,.37429616,0
LONGMEADOW,1999,.71429616,0
RUSSELL,1999,.45429617,0
LONGMEADOW,2000,.75962114,0
SPRINGFIELD,2000,.44962111,0
AGAWAM,2000,.39962113,0
RUSSELL,2000,.54962111,0
HAMPDEN,2000,.27962112,0
GRANVILLE,2000,.60962111,0
WILBRAHAM,2000,.3096211,0
LUDLOW,2000,.38962111,0
WESTFIELD,2000,.39962113,0
CHICOPEE,2000,.38962111,0
EAST LONGMEADOW,2000,.45962113,0
RUSSELL,2001,.54308015,0
CHICOPEE,2001,.47308013,0
GRANVILLE,2001,.61308014,0
AGAWAM,2001,.45308012,0
EAST LONGMEADOW,2001,.50308013,0
LUDLOW,2001,.34308013,0
LONGMEADOW,2001,.73308009,0
WILBRAHAM,2001,.43308014,0
HAMPDEN,2001,.48308012,0
SPRINGFIELD,2001,.43308014,0
WESTFIELD,2001,.44308013,0
AGAWAM,2008,.42694628,0
LONGMEADOW,2008,.70694625,0
GRANVILLE,2008,.55694628,0
HAMPDEN,2008,.52694625,0
WESTFIELD,2008,.38694626,0
WILBRAHAM,2008,.55694628,0
CHICOPEE,2008,.44694626,0
SPRINGFIELD,2008,.31694627,0
EAST LONGMEADOW,2008,.77694625,0
LUDLOW,2008,.39694628,0
RUSSELL,2008,.49694628,0
MIDDLEFIELD,1997,.39619651,0
GOSHEN,1997,.5661965,0
AMHERST,1997,.49619651,0
GRANBY,1997,.29619652,0
SOUTH HADLEY,1997,.43619651,0
WORTHINGTON,1997,.25619653,0
WESTHAMPTON,1997,.27619651,0
PLAINFIELD,1997,.51619655,0
NORTHAMPTON,1997,.5061965,0
HUNTINGTON,1997,.4061965,0
BELCHERTOWN,1997,.72619653,0
CUMMINGTON,1997,.3161965,0
SOUTHAMPTON,1997,.71619654,0
CUMMINGTON,1998,.32857975,0
NORTHAMPTON,1998,.49857974,0
SOUTH HADLEY,1998,.41857976,0
AMHERST,1998,.61857975,0
BELCHERTOWN,1998,.50857973,0
SOUTHAMPTON,1998,.72857976,0
GRANBY,1998,.26857972,0
HUNTINGTON,1998,.41857976,0
PLAINFIELD,1998,.5385797,0
WESTHAMPTON,1998,.35857975,0
MIDDLEFIELD,1998,.35857975,0
WORTHINGTON,1998,.47857973,0
GOSHEN,1998,.5385797,0
CUMMINGTON,1999,.30998024,0
GRANBY,1999,.39998022,0
AMHERST,1999,.6399802,0
BELCHERTOWN,1999,.54998022,0
SOUTHAMPTON,1999,.73998022,0
SOUTH HADLEY,1999,.55998021,0
PLAINFIELD,1999,.37998021,0
HUNTINGTON,1999,.42998022,0
MIDDLEFIELD,1999,.36998022,0
GOSHEN,1999,.54998022,0
NORTHAMPTON,1999,.49998021,0
WESTHAMPTON,1999,.36998022,0
WORTHINGTON,1999,.48998022,0
WORTHINGTON,2000,.46524543,0
GRANBY,2000,.19524541,0
SOUTHAMPTON,2000,.74524546,0
AMHERST,2000,.52524543,0
BELCHERTOWN,2000,.40524542,0
GOSHEN,2000,.53524542,0
MIDDLEFIELD,2000,.34524542,0
HUNTINGTON,2000,.42524543,0
CUMMINGTON,2000,.34524542,0
PLAINFIELD,2000,.56524545,0
SOUTH HADLEY,2000,.60524547,0
NORTHAMPTON,2000,.54524541,0
WESTHAMPTON,2000,.50524545,0
PLAINFIELD,2001,.52889508,0
NORTHAMPTON,2001,.68889511,0
AMHERST,2001,.68889511,0
MIDDLEFIELD,2001,.43889508,0
BELCHERTOWN,2001,.52889508,0
SOUTHAMPTON,2001,.83889508,0
HUNTINGTON,2001,.45889506,0
WORTHINGTON,2001,.46889508,0
WESTHAMPTON,2001,.55889511,0
CUMMINGTON,2001,.44889507,0
GOSHEN,2001,.61889511,0
GRANBY,2001,.21889508,0
SOUTH HADLEY,2001,.60889512,0
GRANBY,2008,.26570043,0
MIDDLEFIELD,2008,.48570043,0
GOSHEN,2008,.58570039,0
AMHERST,2008,.37570041,0
SOUTH HADLEY,2008,.44570044,0
HUNTINGTON,2008,.42570043,0
NORTHAMPTON,2008,.48570043,0
BELCHERTOWN,2008,.26570043,0
PLAINFIELD,2008,.59570038,0
WORTHINGTON,2008,.5757004,0
SOUTHAMPTON,2008,.9557004,0
CUMMINGTON,2008,.5157004,0
WESTHAMPTON,2008,.52570039,0
BELMONT,1997,.43469477,0
TOWNSEND,1997,.34469476,0
READING,1997,.53469479,0
MELROSE,1997,.37469476,0
TYNGSBOROUGH,1997,.21469478,0
AYER,1997,.26469481,0
WINCHESTER,1997,.34469476,0
DRACUT,1997,.25469479,0
WILMINGTON,1997,.28469479,0
GROTON,1997,.47469479,0
NEWTON,1997,.5246948,0
WESTFORD,1997,.60469478,0
BILLERICA,1997,.29469478,0
DUNSTABLE,1997,.53469479,0
MARLBOROUGH,1997,.23469479,0
LOWELL,1997,.34469476,0
MAYNARD,1997,.45469478,0
ARLINGTON,1997,.38469481,0
CONCORD,1997,.59469479,0
FRAMINGHAM,1997,.37469476,0
ASHLAND,1997,.26469481,0
CARLISLE,1997,.47469479,0
HOPKINTON,1997,.37469476,0
WALTHAM,1997,.31469479,0
MEDFORD,1997,.23469479,0
TEWKSBURY,1997,.24469478,0
SUDBURY,1997,.28469479,0
WATERTOWN,1997,.31469479,0
SHERBORN,1997,.37469476,0
WAKEFIELD,1997,.45469478,0
LINCOLN,1997,.43469477,0
STONEHAM,1997,.39469481,0
CHELMSFORD,1997,.37469476,0
SOMERVILLE,1997,.22469479,0
CAMBRIDGE,1997,.4046948,0
MARLBOROUGH,1998,.21955781,0
BILLERICA,1998,.24955781,0
TEWKSBURY,1998,.25955781,0
DRACUT,1998,.28955781,0
GROTON,1998,.45955783,0
LOWELL,1998,.32955781,0
CHELMSFORD,1998,.37955782,0
ARLINGTON,1998,.37955782,0
DUNSTABLE,1998,.56955779,0
STONEHAM,1998,.41955784,0
SUDBURY,1998,.29955781,0
CARLISLE,1998,.45955783,0
CONCORD,1998,.64955783,0
READING,1998,.54955781,0
HOPKINTON,1998,.36955783,0
FRAMINGHAM,1998,.34955782,0
WINCHESTER,1998,.34955782,0
SHERBORN,1998,.37955782,0
WILMINGTON,1998,.29955781,0
LINCOLN,1998,.47955781,0
WESTFORD,1998,.41955784,0
TYNGSBOROUGH,1998,.25955781,0
MELROSE,1998,.38955784,0
WALTHAM,1998,.34955782,0
MEDFORD,1998,.21955781,0
WATERTOWN,1998,.30955783,0
BELMONT,1998,.48955783,0
SOMERVILLE,1998,.22955781,0
WAKEFIELD,1998,.42955783,0
MAYNARD,1998,.45955783,0
NEWTON,1998,.52955782,0
ASHLAND,1998,.30955783,0
AYER,1998,.29955781,0
TOWNSEND,1998,.34955782,0
CAMBRIDGE,1998,.39955783,0
FRAMINGHAM,1999,.38517019,0
SUDBURY,1999,.30517021,0
MARLBOROUGH,1999,.19517019,0
WATERTOWN,1999,.30517021,0
MAYNARD,1999,.50517017,0
ASHLAND,1999,.3151702,0
BELMONT,1999,.51517016,0
CONCORD,1999,.62517017,0
TYNGSBOROUGH,1999,.36517021,0
MELROSE,1999,.41517019,0
WALTHAM,1999,.2851702,0
MEDFORD,1999,.2251702,0
WINCHESTER,1999,.24517021,0
AYER,1999,.29517022,0
DRACUT,1999,.3451702,0
GROTON,1999,.4351702,0
SOMERVILLE,1999,.32517019,0
STONEHAM,1999,.42517021,0
TOWNSEND,1999,.29517022,0
BILLERICA,1999,.24517021,0
CHELMSFORD,1999,.39517021,0
LOWELL,1999,.2251702,0
WAKEFIELD,1999,.4651702,0
SHERBORN,1999,.3751702,0
CARLISLE,1999,.51517016,0
READING,1999,.57517022,0
NEWTON,1999,.5351702,0
ARLINGTON,1999,.3451702,0
CAMBRIDGE,1999,.4051702,0
LINCOLN,1999,.4351702,0
HOPKINTON,1999,.41517019,0
TEWKSBURY,1999,.2851702,0
